Store_Code,StateName,City,Store_Name,Store_Address,Pincode,Mobile,Delivery By
981,Andhra Pradesh,Anantapur,Focus Eye Hospital - Anantapur,"ben franklin opticians, Focus Eye Hospital, 12/5/156, 80 Feet Road, AP Housing Board Colony, Anantapur, Andhra Pradesh",,,Bluedart
218,Andhra Pradesh,Anaparthi,Anaparthi,"Ben Franklin Opticians, Narayana Reddy Eye Hospital, Canal Road, Anaparthi, East Godavari Dist. Andhra Pradesh, India. Phone : NA Mobile : NA.",,,Bluedart
1288,Andhra Pradesh,Chittoor,Rudra Opticals Sree Latha Modern Eye Hospital - Chittoor,"ben franklin opticians, Sree Latha Modern Eye Hospital, Sree Latha Modern Eye Hosptial, 2-1251/2. 1st Floor, Nalanda Nagar, B V Reddy Colony, Konga Reddy Palli, Chittoor, Andhra Pradesh",,,Bluedart
1160,Andhra Pradesh,Giddalur,SVR Hospital - Giddalur,"ben franklin opticians, SVR Hospital, Rajajinagar, Opposite Kasireddy Kunta, Giddalur, Andhra Pradesh",,,Bluedart
141,Andhra Pradesh,Godavari,Geetha Eye Hospital,"Ben Franklin Opticians, Geeta Hospital, # 22-7-2/1, Vinnakotavari Street, Opp.st. to polytechnic College, Tanuku, West Godavari Dist. Andhra Pradesh, India. Phone :NA, Mobile : +91–9581775020.",,9581775020,Bluedart
261,Andhra Pradesh,Guntur,RK Eye Center - Guntur,"Ben Franklin Opticians, R.K.Eye Centre, Opp.Anna Srinivasa Rao, Kalyana Mandapam, Kothapet, Guntur, Andhra Pradesh, India. Phone : NA, Mobile : +91–8297001003.",,8297001003,Bluedart
67,Andhra Pradesh,Guntur,Sankara - Guntur,"Sankara Eye Centre, Guntur - Vijayawada Expressway, Pedakakani, Guntur, Andhra Pradesh, India, Mobile : 6303929364.",,6303929364,Bluedart
497,Andhra Pradesh,Guntur,Sudarsani Eye Hospital - Guntur 2,"ben franklin opticians, Sudarsani Eye Hospital, D No: 31-40, Opposite Hotel Grand Nagarjuna, Main Road, Arundalpet-13th Line, Guntur.",,,Bluedart
279,Andhra Pradesh,Guntur,Fitting Centre,"Ben Franklin Opticians, RK Eye Center, Opp.Anna Srinivasa Rao, Kalyana Mandapam, Kothapet, Guntur, Andhra Pradesh – 522001. Mobile : +91 – 8297001003",522001,8297001003,Bluedart
70,Andhra Pradesh,Kadapa,Kadappa,"Ben Franklin Opticians, MM Eye Hospital, Door No.21/626, Near Old RIMS, Opp Municipal Water Tank, Kadapa, Andhra Pradesh, India. Phone: 08562–222365, Mobile : +91–9032009260.",222365,9032009260,Bluedart
1331,Andhra Pradesh,Kadapa,Madhavi Eye Care - Kadapa,"ben franklin opticians, Madhavi's Eye Care, 42/419, 2nd Cross, Kadapa, Andhra Pradesh",,,Bluedart
993,Andhra Pradesh,Kadapa,Pushpagiri Vitreo Retina Institute - Kadapa,"ben franklin opticians, Pushpagiri Vitreo Retina Institute, House No:85/412-5-3, Beside YSR Sports School, Opp: New RIMS General Hospital, Putlampalli, Kadapa, YSR District, Andhra Pradesh",,,Bluedart
1275,Andhra Pradesh,Kadapa,Sri Sai Nursing Home - Kadapa,"ben franklin opticians, Sri Sai Nursing Home, #20-692, Besides Nehru Park, Opp - Mayura Gardenia Restaurant, Co-Operative Colony, Kadapa, Andhra Pradesh",,,Bluedart
188,Andhra Pradesh,Kakinada,Nayana Eye Care - Kakinada,"Ben Franklin Opticians, Nayana Eye Care, Near Janmabhoomi Park, Srinagar, Kakinada, Andhra Pradesh, India. Phone : 0884–2385010, Mobile: +91–9160012777.",,9160012777,Bluedart
1235,Andhra Pradesh,Kapada,Eye Store MediVision - Badvel,"Ben Franklin, Eye Store MediVision 4, SBVR Charitable Eye Hospital, Badvel, YSR (Kadapa) District, Andhra Pradesh, Pin Code - 516227.",516227,,Bluedart
735,Andhra Pradesh,Kapada,Swarup Eye Hospital - Proddatur,"ben franklin opticians, Swarup Eye Hospital And Laser Centre, T B Road, Proddatur, Kadapa, Andhra Pradesh",,,Bluedart
999,Andhra Pradesh,Kurnool,Jayalakshmi Netralaya - Kurnool,"ben franklin opticians, Jayalakshmi Netralaya, 87/1377, Seshadri Nagar, Opp. Nayara Fuel Pump, Near Nandyal Check Post, Kurnool, Andhra Pradesh",,,Bluedart
1200,Andhra Pradesh,Nellore,Arka Eye Hospital - Nellore,"ben franklin, Arka Eye Hospital, 16-2-102/1, Complex Railway track Road, Pogathota, Nellore, Andhra Pradesh, Mobile: 9154794268",,9154794268,Bluedart
182,Andhra Pradesh,Nellore,Modern Eye Hospital Nellore,"Modern Eye Hospital & Research Centre, 16-II- 101, Pogathota, Nellore, Andhra Pradesh, India. Phone : 0861–2343266, Mobile : +91–9246885010.",,9246885010,Bluedart
183,Andhra Pradesh,Nellore,Modern Retina Centre Nellore,"Modern Retina Centre, 16-II- 99, Pogathota, Nellore, Andhra Pradesh, India. Phone : NA, Mobile : +91–9581405020.",,9581405020,Bluedart
984,Andhra Pradesh,Ongole,Durga Optical Traders - Ongole,"ben franklin opticians, Durga Optical Traders, 37-1-377 B2, Trunk Road, Ongole, Andhra Pradesh",,,Bluedart
983,Andhra Pradesh,Ongole,Durga Opticals - Ongole,"ben franklin opticians, Durga Opticals, C/o Durga Nursing Home, # 20-6-138(2), Anjaiah Road, Ongole, Andhra Pradesh",,,Bluedart
230,Andhra Pradesh,Ongole,Modern Eye Hospital - Ongole,"Ben franklin Opticians, Modern Eye Hospital & Research Centre, #58-8-5, Beside Mythri (Rajamma) Hospital, Ramakuri Vari Street, Santhapeta, Ongole. Phone: 08592-220033, Mobile: 8886333324.",220033,8886333324,Bluedart
303,Andhra Pradesh,Srikakulam,KC Eye Clinic - Srikakulam,"Ben Franklin Opticians, K.C.Eye Clinic, D.No.4-3-18; 1st Floor, Near new Bridge, Convent Road - Day & Night Jn, Srikakulam, Andhra Pradesh, India. Phone : 08942–225020.",225020,,Bluedart
337,Andhra Pradesh,Srikakulam,P Krishna Eye Clinic - Rajam,"Ben Franklin Opticians, P Krishna Eye Clinic, Srikakulam Road, Rajam, Srikakulam Dist, Andhra Pradesh, India. Phone : NA , Mobile : NA.",,,Bluedart
1287,Andhra Pradesh,Tirupati,Medigo Multi Speciality Hospital - Tirupati,"ben franklin opticians, Medigo Multi Speciality Hospital, No-22-4-50/1, Reddy Gunta, Revenue Ward Number 22, Opp Guest Line Days Hotel, Karkambadi Road, Tirupati, Andhra Pradesh",,,Bluedart
35,Andhra Pradesh,Tirupati,Sapthagiri Eye Care Centre,"Ben Franklin Opticians, Sapthagiri Eye Care Centre, 476-F, Tirumala By-pass Road, Korlagunta, Tirupati, Andhra Pradesh, India. Phone : 0877–6455030, Mobile : +91–9248005010.",,9248005010,Bluedart
884,Andhra Pradesh,Vijayawada,Mohan Retina Eye Hospital - Vijayawada,"ben franklin opticians, Mohan Retina Eye Hospital, 29-29-4, Kaleswara Rao Road, Opp Lane to SBI Zonal Office, Suryaraopet, Vijayawada, Krishna District, Andhra Pradesh",,,Bluedart
1032,Andhra Pradesh,Vijayawada,Sandhya Eye Hospital (1 Town) - Vijayawada,"Sandhya Eye Hospital, 1 Town Branch, Komala Vilas Centre, Main Road, Vijayawada, Andhra Pradesh",,,Bluedart
1031,Andhra Pradesh,Vijayawada,Sandhya Eye Hospital (Main) - Vijayawada,"Sandhya Eye Hospital, 29-13-90, Kaleswararao Road, Opp.Central Bank, Venkateshwara Rao Street, Suryaraopet, Vijayawada, Andhra Pradesh",,,Bluedart
1344,Andhra Pradesh,Visakhapatnam,Akshaya Super Speciality Eye Hospital Llp - Vishakhapatnam,"ben franklin, Akshaya Super Speciality Eye Hospital LLP, Door No: 16-1-25, 2nd Floor, Official Colony, Maharani Peta, Vishakhapatnam, Andhra Pradesh",,,Bluedart
1077,Andhra Pradesh,Visakhapatnam,Sandhya Eye Hospital - Visakhapatnam,"Sandhya Eye Hospital, 4th and 5th floor - Muntaj Hotel Building, Beside Krishna Temple, Isukathota, Venkojipalem, Visakhapatnam, Andhra Pradesh",,,Bluedart
788,Andhra Pradesh,Visakhapatnam,Super Sight Eye Hospital - Vizag,"ben franklin opticians, Super Sight Eye Hospital, 45-40-36/1, Akkayyapalem Main Road, Near Sub-Registrar Office, Visakhapatnam, Andhra Pradesh.",,,Bluedart
24,Andhra Pradesh,Visakhapatnam,Visakha Eye Hospital,"Ben Franklin Opticians, Visakha Eye Hospital, Door No. # 8-2-27, Opp Pantulugarimeda, Gajuwaka, Visakhapatnam, Andhra Pradesh, India. Phone : 0891–2749099, Mobile : +91–9246285010.",,9246285010,Bluedart
